date,station,mean_airtemp,daily_precip,mean_windspeed
6/1/88,Toolik Field Station,8.4,0,NA
6/2/88,Toolik Field Station,6,0,NA
6/3/88,Toolik Field Station,5.8,0,NA
6/4/88,Toolik Field Station,1.8,0,NA
6/5/88,Toolik Field Station,6.8,2.5,NA
6/6/88,Toolik Field Station,5.2,0,NA
6/7/88,Toolik Field Station,2.2,7.6,NA
6/8/88,Toolik Field Station,9.4,0,NA
6/9/88,Toolik Field Station,13.1,0,NA
6/10/88,Toolik Field Station,17.7,0,3.9
6/11/88,Toolik Field Station,13.9,11.4,2.2
6/12/88,Toolik Field Station,9.2,1,2.4
6/13/88,Toolik Field Station,9.5,1,2.2
6/14/88,Toolik Field Station,13.3,0,NA
6/15/88,Toolik Field Station,12.2,0,NA
6/16/88,Toolik Field Station,4.7,0,2.6
6/17/88,Toolik Field Station,8.6,0,2.3
6/18/88,Toolik Field Station,11.8,2.3,3.1
6/19/88,Toolik Field Station,11.7,11.4,3
6/20/88,Toolik Field Station,8.5,0.3,2.8
6/21/88,Toolik Field Station,10.7,0.3,3.1
6/22/88,Toolik Field Station,6.6,4.8,3.6
6/23/88,Toolik Field Station,6.1,0.8,3.8
6/24/88,Toolik Field Station,7.7,1.8,2.6
6/25/88,Toolik Field Station,13.4,0,3.9
6/26/88,Toolik Field Station,12,0.5,3.6
6/27/88,Toolik Field Station,10.6,0.5,2.5
6/28/88,Toolik Field Station,12.8,3,2.6
6/29/88,Toolik Field Station,13.9,0,2.7
6/30/88,Toolik Field Station,14.8,0.5,2.6
7/1/88,Toolik Field Station,14.8,0,2.4
7/2/88,Toolik Field Station,16.7,0,3.8
7/3/88,Toolik Field Station,16.6,0,3.8
7/4/88,Toolik Field Station,13,0,3.7
7/5/88,Toolik Field Station,14.1,0,3.1
7/6/88,Toolik Field Station,15.2,0,2.7
7/7/88,Toolik Field Station,12.9,0.3,3
7/8/88,Toolik Field Station,11.4,0,3.5
7/9/88,Toolik Field Station,12.2,0,3.1
7/10/88,Toolik Field Station,13.1,0.8,2.9
7/11/88,Toolik Field Station,13.3,6.9,2.5
7/12/88,Toolik Field Station,14.6,0,2.6
7/13/88,Toolik Field Station,17.2,0,2.6
7/14/88,Toolik Field Station,17.7,0,2.7
7/15/88,Toolik Field Station,13.8,6.9,3.3
7/16/88,Toolik Field Station,15.1,0,2.8
7/17/88,Toolik Field Station,8.5,4.3,2.4
7/18/88,Toolik Field Station,10.5,0.8,2.3
7/19/88,Toolik Field Station,10.8,1.5,2.7
7/20/88,Toolik Field Station,9.4,0,3.5
7/21/88,Toolik Field Station,3.2,0,3.3
7/22/88,Toolik Field Station,3.5,0,3.1
7/23/88,Toolik Field Station,5.3,0,3.4
7/24/88,Toolik Field Station,8.7,0,2.2
7/25/88,Toolik Field Station,11,0,4.6
7/26/88,Toolik Field Station,10.8,0,4.2
7/27/88,Toolik Field Station,12.7,0,4.5
7/28/88,Toolik Field Station,13.9,0,3.4
7/29/88,Toolik Field Station,12.2,0.5,3.1
7/30/88,Toolik Field Station,11.9,0.5,3
7/31/88,Toolik Field Station,9.2,9.9,4.3
8/1/88,Toolik Field Station,7.6,11.7,2.6
8/2/88,Toolik Field Station,10.4,0,2.3
8/3/88,Toolik Field Station,7,9.9,4.2
8/4/88,Toolik Field Station,8.6,0.3,1.8
8/5/88,Toolik Field Station,12.9,0,2.6
8/6/88,Toolik Field Station,13,0,2.8
8/7/88,Toolik Field Station,8.8,4.3,4.1
8/8/88,Toolik Field Station,0.6,5.6,2.5
8/9/88,Toolik Field Station,5.3,0,2
8/10/88,Toolik Field Station,8.3,0.3,3.6
8/11/88,Toolik Field Station,10.2,2,4.3
8/12/88,Toolik Field Station,3.8,15,4.1
8/13/88,Toolik Field Station,7.6,0,3.1
8/14/88,Toolik Field Station,10.1,2.3,7.5
8/15/88,Toolik Field Station,10.7,0.3,5.8
8/16/88,Toolik Field Station,10.3,1.3,2.4
8/17/88,Toolik Field Station,14.2,0,3.5
8/18/88,Toolik Field Station,11.1,0.3,3.4
8/19/88,Toolik Field Station,6.7,0.8,2.1
8/20/88,Toolik Field Station,9.1,1.5,1.6
8/21/88,Toolik Field Station,9.9,3.6,2.8
8/22/88,Toolik Field Station,1.6,1.3,3.6
8/23/88,Toolik Field Station,-0.2,4.3,2.3
8/24/88,Toolik Field Station,4.2,0,1.7
8/25/88,Toolik Field Station,6.7,0,NA
8/26/88,Toolik Field Station,10.2,0,3.4
8/27/88,Toolik Field Station,8.9,0,2.9
8/28/88,Toolik Field Station,5,0,2.3
8/29/88,Toolik Field Station,1.1,5.1,3.3
8/30/88,Toolik Field Station,-2.5,0,3.8
8/31/88,Toolik Field Station,-5.5,2.5,2.6
9/1/88,Toolik Field Station,-5.2,2.5,1.4
9/2/88,Toolik Field Station,1.8,5.1,2.4
9/3/88,Toolik Field Station,5.2,0,3.2
9/4/88,Toolik Field Station,2.3,5.1,1.9
9/5/88,Toolik Field Station,0,7.6,2.1
9/6/88,Toolik Field Station,-1,0,1.9
9/7/88,Toolik Field Station,2.5,5.1,3.5
9/8/88,Toolik Field Station,4.3,0,3.1
9/9/88,Toolik Field Station,3.1,0,3
9/10/88,Toolik Field Station,3,0,2.9
9/11/88,Toolik Field Station,-1.9,0,2.1
9/12/88,Toolik Field Station,-0.6,0,1.3
9/13/88,Toolik Field Station,1.7,5.1,2.1
9/14/88,Toolik Field Station,2.5,2.5,3
